subNo,I,U,I1,I2,I3,I4,U1,U2,U3,U4
258,1.48416010447613,1.51682117654107,1.70093097578114,1.63423910413511,1.36673540316979,1.23327450582587,1.60299965314621,1.63423910413511,1.36679139496904,1.4028600901176
259,0.113159678376727,0.242504850859164,0.43233112492259,0.0980226108288176,0.1,0.169819640366474,0.311707853966112,0.0941070372225688,0.394041925257897,0.220338325344645
260,1.81654604062673,1.90021780505457,1.90377060755408,1.9037706075541,1.76712919726755,1.70005678849847,1.9967502172997,1.90377060755409,1.9037706075541,1.83807477719738
261,1.90377060755414,2.00339789598028,1.90377060755408,1.9037706075541,1.90377060755409,1.90377060755409,1.90574447602401,2.10378246375753,1.99674933463352,2.04197891188482
262,0.409540776884877,0.635160359050111,0.697401444104808,0.499858792041065,0.178729140159145,0.309188543792513,1.0332336517519,0.761263095119478,0.428825614373637,0.374487820414275
263,1.5519318736564,1.58343244666143,1.80313585617351,1.56720810340235,1.36790709473461,1.4335270991303,1.76712919726755,1.60299641217668,1.43328509588595,1.49078442504118
264,0.428289221227167,0.63845333142056,0.649246932375056,0.554747862395027,0.261876796246049,0.215233302160606,1.03328088457794,0.694656042401395,0.39854429183914,0.374460777452242
265,1.61096652392571,1.86876324638107,2.2,1.64912635294537,1.48136442723531,1.2418226314807,1.7073877912468,2.06760949177826,1.79686436014798,1.97552373001346
266,1.60864435821616,1.61608300832545,1.9515589578367,1.70332932958486,1.36717102169605,1.4340913907372,1.88636948602325,1.64361418528217,1.63423910413511,1.3051979936398
267,0.932561017535404,0.649064420566763,1.32590297427671,1.1062504319769,0.694718732331146,0.1,1.17802438832934,0.70010782090376,0.424624310751192,0.240081769435215
268,1.82210138396814,1.96848307461294,1.64912635294537,1.97044113615207,1.82971388173573,1.81445611065782,1.99674933485013,2.00325068322571,1.97044113615207,1.9037706075541
269,1.71696264270335,1.95153956305118,1.90065340803202,1.69494968561465,1.70005678849847,1.56677902983965,2.11084301568453,1.90065340803202,1.90065340803202,1.90377060755409
270,1.82757369042082,1.83807477719738,1.91625874077229,1.76934844256905,1.90574447602401,1.71308130526189,1.90377060755409,1.83807477719738,1.90065340803202,1.71308130526189
271,1.83299225381655,1.80493816939694,1.99674933471016,1.9037706075541,1.79686436023407,1.70005678849847,1.9037706075541,1.80313585621064,1.90377060755408,1.79686436020698
