subNo,IP_ignore,IP_update,devI,devU,devI4-devU4,devI-devU,IPtask,IP_I1,IP_I2,IP_I3,IP_I4,IP_U1,IP_U2,IP_U3,IP_U4,devI1,devI2,devI3,devI4,devU1,devU2,devU3,devU4
15,1.485386343,1.517699717,6.646202486,7.725045081,-3.876116887,-1.078842595,1.501525723,1.570613677,1.50081215,1.639282495,1.233274506,1.634239104,1.567208103,1.433527099,1.435135885,4.921281096,5.963889108,11.87000289,8.765049843,5.312399935,8.271964801,6.544186342,12.64116673
16,1.42534427,1.417998655,9.260780324,9.093551491,-1.175937122,0.167228833,1.42134388,1.4,1.500005261,1.397140287,1.40286009,1.300230717,1.568419135,1.444516696,1.397140287,9.646885968,10.24612339,7.626826056,8.265374625,10.9428466,10.99185836,5.902760936,9.441311747
18,0.845773837,1.168289142,5.464107788,5.776740922,3.255195659,-0.312633134,1.008105473,0.90914785,0.833798378,0.811536504,0.795984176,1.370544674,1.101338583,1.169285029,1.033412359,7.699793445,4.109507816,3.779641416,7.174556329,5.230807926,6.878435358,7.332401112,3.91936067
19,1.227458349,1.201797992,6.829018085,6.973193564,1.153642171,-0.144175479,1.214645064,1.40286009,1.431236269,1.033768618,0.993438901,1.44183601,1.300000581,1.033412359,1.021361805,7.118262478,6.146749756,9.097813659,7.264282138,8.092774587,7.004955381,6.442943001,6.110639967
20,0.165749446,1.325926221,14.74927308,10.86588895,6.8267737,3.883384132,0.664559365,0.931694151,0.215067034,0.1,0.1,1.344359657,1.537954157,0.1,1.315270002,8.60561362,11.97553701,29.77503571,24.9880469,8.668322328,10.86588895,7.53110249,18.1612732
21,1.168144241,1.489755605,9.463141293,9.722651842,-2.427779802,-0.259510549,1.32961607,1.568466369,1.433285096,0.900395413,0.79712297,1.790004014,1.767129197,1.300230717,1.100033285,13.80694676,7.580532696,11.28389372,9.306915858,9.159090687,4.749503667,12.49356062,11.73469566
22,1.878477185,1.916613259,9.887822044,9.666952172,2.367331229,0.220869872,1.897455197,1.803135856,1.931695901,1.931695901,1.8454647,1.903034293,1.951558958,1.837930248,1.98327627,9.790657926,11.13872942,8.579487958,11.3336195,8.351820841,12.62545235,13.32821545,8.966288271
25,1.903770608,1.91751473,7.35148426,7.852358409,-1.897130329,-0.500874149,1.910413988,1.903770608,1.903770608,1.903770608,1.903770608,1.970441136,1.996749335,1.903770608,1.803135856,5.758025546,5.847810268,8.543804419,9.137212651,9.163081892,5.957028411,6.250229494,11.03434298
26,0.99562419,0.993646571,9.356183786,7.023595644,11.48657425,2.332588142,0.994704065,0.997225182,0.997225182,0.90914785,0.997215927,0.997215304,0.90914785,0.90914785,0.997225182,7.371266435,13.78440739,7.473600721,21.34559347,7.798042809,5.020554912,6.295783895,9.859019219
27,1.850787506,1.855162455,9.339941322,4.753111038,7.912017877,4.586830284,1.852513682,1.769348443,1.838074777,1.903770608,1.903770608,1.838074777,1.773961727,1.903770608,1.916258741,5.467515646,16.09188668,9.339941322,15.94822293,4.568972763,3.708564867,4.93061143,8.036205053
28,0.976132236,1.427378939,12.78489352,7.298384731,0.168889506,5.486508789,1.207384471,1.167326669,1.180580089,0.867965923,0.441343781,1.323998083,1.380499449,1.610669275,1.391372564,9.994516843,11.4208512,26.37863498,9.663140385,5.230632183,9.138570154,7.499752422,9.494250879
29,1.30608106,1.419009567,21.24330951,14.15802428,-12.40932284,7.085285231,1.362876484,1.682677968,1.366791395,1.233956364,0.965937758,1.633374171,1.602999653,1.366735403,1.033789886,20.28855369,15.70615571,24.83235806,41.85546261,5.843386707,9.17757214,12.91329952,54.26478545
31,1.000261348,0.900218794,7.669633964,8.768274888,-0.057494692,-1.098640924,0.950127545,0.965937758,1.033813284,1.033768618,0.966791661,1.167134158,0.899314722,0.76718955,0.767419162,5.554647053,10.55347109,7.945218903,7.495761663,9.309393695,7.928089489,9.863162614,7.553256355
32,1.996749335,2.032238595,7.178683535,9.776977729,-1.877444174,-2.598294194,2.000078641,1.996749335,1.996749335,1.996749335,1.996749335,2.003250683,2.110843016,1.996749335,2.003250683,8.17997918,7.165571587,5.195330242,7.908796534,14.65198235,8.698107651,8.908236737,9.786240708
33,1.903770608,1.80714747,8.052610833,5.875232693,2.742133023,2.17737814,1.810495394,1.903770608,1.903770608,1.903770608,1.903770608,1.803139546,1.903770608,1.803135856,1.903770608,8.669124767,7.225715893,7.463478258,9.418738529,5.317991331,6.209224513,4.272590134,6.676605506
34,0.92859334,1.085013339,10.17081278,11.60094276,6.52774963,-1.430129976,1.006515103,1.773961727,0.900010254,0.633774355,0.403155428,1.803124249,1.100137352,0.827924494,0.567704954,6.827475001,12.69300656,10.07743653,18.76471078,12.53661652,8.944045422,7.947656488,12.23696115
37,0.227135954,0.916506172,9.748399044,7.04573854,11.70010467,2.702660504,0.550132122,0.900315148,0.462596724,0.101902491,0.1,1.506665106,1.369029304,0.679046843,0.195424661,4.587322208,5.941772283,12.78535202,21.45078291,6.786084659,5.213940492,7.196680859,9.750678245
38,1.133380867,1.213357349,8.059081139,8.052940335,1.205017961,0.006140804,1.172194946,1.233583997,1.100001008,1.100001008,1.100137352,1.233956364,1.216261924,1.234521114,1.166868339,8.322141902,6.842783752,7.774714159,9.775623881,8.085952213,8.128489428,7.747869247,8.57060592
39,1.439852231,1.529273263,19.28616696,11.82242798,-30.244525,7.463738985,1.483555267,1.387938024,1.602999653,1.504027386,1.23338939,1.649126353,1.73946506,1.504027386,1.226101649,14.32503683,15.13576615,38.8836691,20.23995562,9.578047526,10.81246848,7.15973179,50.48448062
40,1.903770608,1.992580272,8.622405769,6.191273945,1.23858607,2.431131824,1.989135394,1.903770608,1.903770608,1.903770608,1.903770608,1.903770608,2.003246955,1.903770608,1.903770608,7.227309154,8.622405769,7.928875832,11.24780347,5.678273283,3.802287773,5.064009204,10.0092174
41,1.990944689,2.06594107,6.660600507,6.961143835,-1.893504981,-0.300543328,2.030906647,2.103536792,1.951631601,1.903825808,2.003250683,2.003250683,2.104176785,2.196640652,1.996749335,4.272068737,6.932782765,8.610518932,7.382146099,2.564981197,8.620777235,4.818749861,9.27565108
42,1.236223619,1.388599358,7.107386814,7.149522006,2.107578373,-0.042135192,1.312605906,1.694949686,1.597001079,0.966793714,0.700107821,1.694949686,1.694949686,1.300663148,0.833798378,5.66481228,7.661882297,5.122347471,9.845735043,5.429749705,6.785648989,7.288440615,7.73815667
43,1.417059168,1.433449454,6.745474893,8.586766211,3.436446554,-1.841291318,1.42523424,1.602999653,1.597001079,1.397140287,1.100308174,1.50081215,1.56677903,1.397140287,1.300038784,6.287066589,6.927123343,6.456319694,10.5818454,7.842501828,7.562214078,13.49135129,7.145398846
44,0.1,0.245659202,9.383384407,7.978307455,27.54089088,1.405076952,0.161368086,0.103008131,0.256970484,0.148091849,0.1,0.280154591,0.149284345,0.297918795,0.232909949,6.643426372,9.24791856,28.14041533,57.54601431,5.555888196,6.499758446,7.978307455,30.00512343
45,1.768380556,1.80152923,37.79629792,36.2926246,0.776536709,1.503673319,1.792620221,1.803135856,1.79686436,1.803135856,1.602999653,1.796869214,1.903770608,1.796866167,1.803135856,7.904443894,6.303769307,8.346292287,3.670358156,6.969371163,4.43426691,4.640911482,2.893821447
47,1.903770608,1.938566644,6.633253101,8.496764257,-0.679380199,-1.863511156,1.917353649,1.903770608,1.903770608,1.903770608,1.903770608,1.856123303,2.041978912,1.903770608,1.996749335,3.187075127,10.08463913,9.070213168,6.315299549,5.911692219,11.64305155,8.558651951,6.994679748
48,0.54997651,0.667804941,14.37680832,8.58075561,11.93304493,5.79605271,0.609964298,0.632439185,0.501585201,0.5969805,0.468615907,0.76718955,0.634926592,0.700107821,0.56885347,6.88249015,11.39944793,27.91102628,27.84670247,6.810575474,6.598173983,10.85204168,15.91365754
49,1.534306258,1.58357704,7.169626045,6.702465108,-1.029362714,0.467160937,1.55858859,1.490784425,1.663604138,1.50081215,1.490784425,1.602999653,1.694949686,1.490784425,1.50017387,3.974992316,8.458318929,7.341318461,7.862070109,4.901987861,4.377735631,6.47676935,8.891432823
51,0.407611088,0.555372328,7.389967355,7.491098153,2.331037574,-0.101130798,0.486014008,0.434411531,0.450291649,0.348903152,0.39684424,0.6208439,0.564701974,0.501585201,0.51863872,8.145924966,5.051507898,7.159799957,7.394374609,8.361450596,6.729945539,8.444815256,5.063337035
53,1.664315345,1.799567397,4.716498062,5.295509001,3.24526153,-0.579010939,1.737695297,1.856123303,1.927838697,1.530054121,1.254400036,1.856123303,2.041978912,1.700056788,1.577626504,4.567516733,3.645923845,5.588772887,14.11055795,5.010479913,3.997075501,4.409225268,10.86529642
55,1.485386343,1.610869859,7.144452748,5.072857991,1.949324301,2.071594757,1.547115927,1.50017387,1.50207931,1.588190598,1.366735403,1.663604138,1.634239104,1.570613677,1.588190598,2.759460857,7.683089175,6.860115786,9.021794297,4.033158166,4.192991615,6.00419879,7.072469996
56,0.865813952,0.767078764,10.09725616,9.149343188,-1.21244896,0.947912972,0.815148827,0.618118212,0.900395413,1.067101417,0.932428604,0.889568644,0.889568644,0.622184097,0.615059188,7.293983808,5.626578024,14.57664913,10.24432785,5.750611061,11.12274191,4.497906784,11.45677681
57,1.928153194,1.934392286,9.688500422,7.01723485,4.604308977,2.671265572,1.922672115,1.980958962,1.869815072,1.888151224,2.001699481,1.996759292,1.803135856,2.041978912,1.903947563,7.55904587,5.742732022,9.688500422,12.60347553,7.243334307,13.628505,3.906207705,7.999166553
58,1.716927748,1.847491842,14.84373639,12.56970693,1.7239359,2.274029456,1.783641135,1.79686436,1.79686436,1.79686436,1.56677903,1.796851344,1.803135856,1.996749335,1.803135856,13.56373511,15.31724407,11.9584346,26.78445104,8.3545475,28.23611619,13.24333101,25.06051514
59,1.772587695,1.803739146,8.089435174,8.386512279,10.66519116,-0.297077105,1.788209862,1.65579404,1.769348443,1.803135856,1.834103717,1.903770608,1.803135856,1.767129197,1.729156462,6.905680475,9.547358126,12.75551559,19.22719564,8.265923322,9.958607088,8.38651228,8.562004483
60,1.800296148,1.831644378,6.877277125,5.816801723,0.591705111,1.060475402,1.816546041,1.903770608,1.903770608,1.803135856,1.56677903,1.903770608,1.900653408,1.803138817,1.694949686,6.524575316,7.618171874,7.172240233,6.025787485,4.561189977,6.832005392,10.39521886,5.434082374
62,0.305495173,0.881011496,11.81659649,10.04634697,12.3986562,1.77024952,0.550863203,0.682359556,0.509474817,0.1,0.1,1.071761312,1.038084591,0.1,0.894233168,8.869689028,6.972120001,30.00567884,22.59371719,10.04634697,11.87647564,7.635628179,10.19506099
103,1.6668,1.7515,7.592508808,5.630818232,10.99364052,1.961690576,1.70915,1.7001,1.6334,1.7009,1.6334,1.6334,1.6334,1.7969,1.9833,4.901715514,9.55392343,7.685060404,17.23087846,4.312601974,5.402452119,6.080755207,6.237237933
108,0.32791,0.23587,13.17056207,8.79561502,13.91007873,4.37494705,0.28189,0.22982,0.63958,0.25638,0.24311,0.30056,0.45029,0.27562,0.1,8.348414756,11.12740035,14.17567765,25.78552696,6.437808074,9.913107149,8.230599121,11.87544823
109,1.2334,1.1335,9.132335951,10.35634535,3.239506883,-1.224009402,1.18345,1.3002,1.3672,1.1972,1.1012,1.3679,1.2336,1.0028,0.90915,8.323920591,16.03294111,6.50628275,11.5651349,10.10189809,12.42823156,8.534911383,8.325628019
110,1.6668,1.7522,8.821525476,8.113586094,-1.257732956,0.707939382,1.7095,1.7969,1.603,1.7001,1.5685,1.6949,1.8031,1.8381,1.6436,13.40166521,8.738364169,8.679195738,9.65466677,9.27059689,7.874767977,6.850291067,10.91239973
111,1.8827,1.8959,14.34894754,9.333648595,6.072159562,5.015298945,1.8893,1.9704,1.8031,1.8031,1.9038,1.9057,1.8031,1.9038,2.0044,14.34894754,17.94168426,9.199555533,17.40658845,6.633199428,6.627114681,7.919423213,11.33442888
112,1.4692,1.6018,13.57451939,12.26184733,6.125259122,1.312672061,1.5355,1.3971,1.6342,1.4252,1.4622,1.5008,1.603,1.79,1.5002,7.01394975,15.31049865,12.38065497,13.55119482,19.05674719,7.03198181,14.64917462,7.425935699
113,1.7006,1.6574,6.535952429,6.388136441,1.712446144,0.147815988,1.679,1.9038,1.7969,1.7001,1.4333,1.9057,1.7969,1.7001,1.2345,6.296631343,5.621976202,8.103198801,5.740488665,5.960383395,7.085823021,8.166997326,4.028042521
114,1.6693,1.6476,8.736303216,6.545582425,2.470137482,2.190720791,1.65845,1.9034,1.8,1.8,1.2372,1.8032,1.7969,1.7969,1.1904,7.412273263,7.761497395,8.736303216,11.23985301,6.298539611,5.204352854,7.207746841,8.769715525
115,1.8413,1.9929,5.561588797,6.757633703,-2.967670557,-1.196044906,1.9171,1.7693,1.8031,1.8031,2.0354,1.9704,1.9704,2.0035,2.042,6.072113769,5.781251695,4.278188436,6.016012388,6.757633703,6.401817366,5.536007793,8.983682945
116,0.78233,0.93284,9.236843188,8.147120438,-0.923643591,1.08972275,0.857585,0.90915,0.90028,0.76686,0.45029,1.0338,0.75836,0.83385,1.1011,7.461390041,7.467476471,13.1611563,9.799538891,8.147120438,10.20716673,7.290535913,10.72318248
