subNo,Ignore,Update,I1,I2,I3,I4,U1,U2,U3,U4
22,24.5989212826543,16.6783972157067,22.5478882777865,22.4621051365537,30.8461136080572,22.53957810822,14.6974821348559,16.5734430838234,24.6461184212626,10.796545222885
23,15.8126439088395,12.5657125503444,8.92613551496563,16.1452245001127,27.9179377034371,10.3328894747428,7.16800665110967,16.4105808115825,13.0183768409279,13.739230787585
24,18.6041471447913,15.1485610317694,12.1502048732736,15.7862815032838,16.7724097880948,29.5932088297195,9.70776390172488,23.62151066646,13.2156461328249,13.8471799257581
25,13.0774195871477,15.2741571039656,8.93185618219513,7.93357634079161,13.4488233329978,21.9954224926061,9.12780246151595,7.8612842184995,10.3649278235701,33.7426139122767
26,24.7794163607625,12.2495663122324,20.6183287415784,24.7292704571465,22.3071905614326,31.4597415639167,17.6242813525494,7.2865875653533,9.97765912657121,13.9028833474787
27,27.1771272943304,8.48785446844928,10.1929466726023,40.5079577882963,16.0226446578009,41.9849600586223,6.25037911119209,7.10619559350709,9.20159074697196,11.4378609395336
28,34.0335894253322,17.3614086921497,31.1714236613241,16.0572053466115,56.2314268197873,32.6743018736061,13.9027242152884,20.4700175642575,19.1459455872931,15.9502857754099
29,34.7051775983983,35.6916432599458,17.3154208816679,21.5757694358893,35.5641889105528,66.342674736622,21.971874419894,17.0919354719952,34.7792169777703,69.8990258449388
30,17.5546413729509,10.3920892103161,11.7468282866254,10.5240482718713,21.9240498817645,26.0236390515423,8.7756279533115,8.97285455254,12.5842234274842,11.2356509079289
31,12.9602367321117,10.8556790266482,7.79043608347798,14.8753090227289,15.4316900332571,13.7435117889827,8.36275867596511,9.92459619775695,12.8596122504854,12.2757489823855
32,18.5484719874895,12.3653616179368,32.2616843372417,14.9113293928614,10.7324199442741,16.918208635276,14.0049356177914,11.807675389444,11.9273878319162,11.7214476325958
33,14.9458599393741,10.2064507610415,13.7111476438433,8.8532024448042,10.8940398545363,26.3250498143126,6.49090610392716,13.6575105098454,9.3324118418483,11.6077108564304
34,23.2036959046448,17.9829102368717,13.2824028592938,33.656494272888,17.6803884671257,27.5050845895819,19.5726755776867,19.4754819360832,13.6240885374802,19.2593948962368
35,35.1183989340438,17.0351620267279,27.384987732884,17.9101967895477,43.7720012911607,51.4064099225831,8.17443171799978,20.628487039471,11.9514989800865,28.076301592196
36,30.0552241276347,19.2217488427249,26.7752422710376,26.0799359741031,37.4994152962659,31.7049641021053,8.9939016465466,26.7419437583321,18.9575234205462,23.0798443049313
37,27.0373386291672,14.4773464545723,6.83721628574801,11.2591307708432,43.5312206183592,45.2592791952546,20.1892392540875,7.3447314764021,14.8039900636499,15.9522178774509
38,17.4394231968718,13.4990535305644,11.6239641816379,12.929039998179,24.3360954002592,21.0177362702046,9.86433608115567,20.0038609746218,12.8818682647957,11.6141251878274
39,42.5483775727499,32.3248966987418,36.5507649078313,27.9785980677168,57.6082256738009,47.6810708500929,11.9597675494922,19.9889861643136,23.7426709912751,73.6081620898863
40,16.1860634063281,15.0826962989866,11.1820650358004,13.394476910141,13.4132548666776,26.7544568126935,10.4290857254135,10.1139593613767,12.3305655255301,28.2821398026019
41,10.6046137790918,9.64737559490084,9.22644884158595,9.16635452323743,10.6569657539512,13.3686859975927,5.35789898833033,11.6585179164432,11.0087305046524,10.5643549701774
42,18.9082508196603,9.84792989718267,8.86298844370068,12.6659645825478,13.6920901839354,40.4119600684575,6.4561377810427,8.06588740618584,15.8916170511832,8.97807735031895
43,11.6077962082837,9.50466016828747,6.91697777173946,10.0915422003772,11.7352502710749,18.565035363237,7.72173564869744,8.48834471278101,12.1946889169266,9.61387139474484
44,38.9869323730867,19.2248660177724,9.91735211239343,24.1669415060014,60.106019991258,63.0773588588296,6.45467359954492,9.19067819279774,21.5671871818206,39.8333201696793
45,11.4988991435241,9.88928871366017,10.0791211215935,11.4946589678002,11.5301947709709,13.0902792112098,9.95895890384726,8.90681465444449,10.4530636871597,10.1769129804882
47,11.5599714619105,11.0367693478409,7.03391575439502,12.8748250111753,14.57335807947,11.7709747053144,7.92132363913693,12.8388551146955,11.9898239104506,11.4566406372436
48,28.5970241451919,17.6805302783532,9.53764221347109,28.9639322765666,37.5839713535347,38.3025507371955,9.84189377971918,10.3355387201697,23.0996957826875,28.4572347012908
49,13.1287961123653,10.2325075595421,6.76469350932435,16.537029938396,11.3069841703729,17.9064768313681,7.23113256511045,7.7071376676427,13.1030633200096,12.730861067162
50,11.4198837995196,10.8170224903866,8.46087682650131,17.7607387326685,11.4208915328252,7.81150439318773,9.50286001924737,8.93695765019967,11.8345603624419,12.9937119296575
51,11.9884606629035,12.8600042007714,9.12274562982299,11.8854973184722,12.5647124710055,14.4169029703198,12.609118827669,14.3250759891784,10.0248463103373,14.6867118934701
52,21.3369778828686,15.1518853982396,29.7986238996279,16.5438843661964,13.3534694540659,25.6519338115843,7.91115415602245,14.5472637064438,12.957320099254,25.191803631238
53,13.4284579711041,10.3424882304967,8.55724630545618,8.62268693090575,15.1924094281316,21.4517361859871,9.63399028110947,9.06444057076102,9.09480276017663,13.792334715236
54,27.0493232145681,16.8394755653876,16.8006156285603,23.1432374602057,23.3178241261102,47.673923196608,18.1323078614927,11.7583630264603,14.4326409916237,23.1332650726207
55,11.9723224832001,9.64430669336091,7.65382986906038,11.6963160190558,11.1095101597711,17.4296338849133,4.96313455821341,8.21423941747477,13.4706169150156,11.9292358827399
56,18.6145159584817,12.4567967131528,10.6288712931402,15.3415036512494,24.7551297341109,23.7325591554262,9.3582553398461,13.1231688832299,11.129178485675,16.21658414386
57,22.4931192600091,19.5516723132283,17.0490800315431,20.7419609585048,24.1450509270426,28.1396308521355,14.7208712308616,27.3189448642658,18.7060119373357,17.321473814265
58,26.5746060851545,33.8188575799247,16.7510639174411,21.1783344718891,35.5682631606182,33.2158399043704,8.34071657037848,55.4824968411236,17.8122388264045,54.9613861152501
59,31.1550082227917,18.6166755456906,13.415473938338,29.2109973918904,27.7507338632548,54.2428276976834,11.6159471678081,23.5212415629011,15.5175424958319,23.8119709562213
60,10.0813272030871,9.95042951598703,9.69716896489632,10.4170772667755,11.2063509306647,9.00471165001182,8.43556151447614,10.2696392596198,11.9355462961651,9.16097099368709
61,10.0418964245672,14.030347135609,8.27309001815456,10.54281288347,11.3802012226523,9.97148157399176,7.3231915396455,22.8552077682938,9.99015534827937,15.9528338862173
62,30.881574360234,24.6263978623037,19.5801706794828,20.2887224295178,46.3525565149043,37.8142639032336,23.0162285800581,28.5431249739674,14.8028132615562,31.4885189935833
