subNo,Ignore,Update,I1,I2,I3,I4,U1,U2,U3,U4
21,2.10144162488388,2.18606588498271,1.70520916144534,2.4571586730018,2.23779590993519,1.99921349717115,2.10626585539421,2.08732251708642,2.23773944193101,2.3129357255192
22,1.78200909916404,1.90410615231258,1.56738404762655,1.94341532025101,1.79287074056901,1.8243662882096,1.52336832832043,1.96835707794344,2.01844005554722,2.10625914743923
23,2.11939000800542,2.1030060863455,1.59237785243022,2.01212146598846,2.42035961633859,2.52181479632522,1.66752267236006,2.15631536651927,2.1375085884938,2.47385582678641
24,2.54559405140638,2.47981319505902,2.33195736375637,2.48222435545176,2.7547215361769,2.62654341803864,2.40076926414622,2.532418578543,2.52066643085952,2.46716107651591
25,2.0828461037745,2.09854555641505,1.87442930505495,2.31308491736127,2.21913003867667,1.92474015400512,1.73648478696123,2.08747133878933,2.21280609833775,2.35742000157188
26,2.14602156070667,2.19512165219132,1.78665320944856,2.36681463777398,2.11865593463881,2.32576202828204,2.0560236813908,2.16632740255445,2.27539526764303,2.28666188086694
27,2.17544279164576,1.95988172120489,1.99392531938793,2.1815557959344,2.40726840027492,2.11902165098581,1.75533311444451,1.99351537878101,2.05283280800407,2.0436550265149
28,1.95736673750071,2.06895174226543,1.51084554867703,2.13747166161193,2.09361329313833,2.08753644657554,1.63608514750376,2.21270027855644,2.22651180637379,2.21978427385911
29,2.31330769907776,2.36184667254424,2.1189661534072,2.30680017885152,2.42600849841256,2.40733251674392,2.15019416912492,2.23993988067765,2.25660787550169,2.82177085157018
30,1.86038355818766,1.97939508758873,1.84953433875899,1.98724499259106,1.7490212888365,1.85573361256411,1.94966004632761,2.11264666738316,1.92446923064063,1.93080440600352
31,2.3805243180459,2.55755978203251,2.24424926402571,2.48237725752188,2.45088321276126,2.34458753787476,2.31319436970807,2.59514235916868,2.68287952548781,2.6390228737655
32,2.26308446077746,2.34432115142681,2.0394706871865,2.36685421697718,2.34425221115453,2.2942704767047,2.28168395813918,2.43838593260443,2.36309690941926,2.29411780554437
33,2.49336855943784,2.57812462180288,2.10011813778692,2.46975540283529,2.6013878193553,2.80221287777385,2.23791973390325,2.71424259927517,2.58270677064138,2.82366894375837
34,2.39262778705902,2.53716251967126,2.18798391222663,2.36318169615697,2.41424049984198,2.60780662910838,2.19406291813357,2.58886924624676,2.45093559652742,2.91478231777728
35,2.01540646424837,2.13961081676156,1.8934135241434,2.08737446577288,1.9995803857455,2.0812574813317,1.88686941110063,2.04351902974304,2.22525406681234,2.42034675556545
36,1.89501680050818,2.06922480969265,1.51136510198315,2.15243453142018,2.05611448389633,1.96289862555984,1.51702808971459,1.9189761073639,2.5992214444171,2.40700469811314
37,2.7667506744176,2.84208493339198,2.60098532872895,2.74536407979031,2.83316028109402,2.87713267395156,2.56461556872819,2.92844328672315,2.89493839424104,2.96184452623129
38,2.76786051210647,2.82601490479353,2.72064974653767,2.97531772529085,2.76811785443376,2.62033888188307,2.87102074819268,3.00883689727634,2.58749801817661,2.83322302464512
39,2.01868629930837,2.08580726285436,1.76535607973735,2.26909909272217,1.95575119517162,2.06870569087914,1.73636230739066,2.3444159211067,1.99959620260051,2.26285462031956
40,2.03877225668475,2.14748458189535,1.79290097902413,2.10603105642076,2.0935032236448,2.16265376764932,1.95573142790818,2.30669336534629,2.05588140164036,2.27990863607265
41,2.24728329182472,2.19708609030204,1.91833537041384,2.46344423724804,2.09362748738204,2.51372607225494,2.06236213771626,2.26291497224884,1.98083811957622,2.48222913166683
42,2.35726131379124,2.498211666516,2.19445812318008,2.357135918719,2.43862254873966,2.43882866452623,2.21303604045534,2.61415342440887,2.48249930643942,2.68315789476037
43,2.4483291416574,2.44468667424371,2.42616019817069,2.67664352244174,2.47407394163311,2.18515064191472,2.53876881649194,2.60133868233243,2.31934676096716,2.31929243718332
44,2.02978457843456,2.04877958341043,1.78042725031264,2.05593761333148,2.16624911256755,2.12505337090988,1.89931136855739,1.91175067743461,2.19967156356821,2.19381547284138
45,2.31335351132162,2.42928671799896,2.18781100654451,2.50057790144347,2.29412997637701,2.27820285301589,2.33185696403962,2.3535144796595,2.35685220244341,2.6701874609571
47,2.13971003572205,2.26538871825924,1.87447813508334,2.2566013506148,2.32559517223854,2.09966251490017,1.93072658829624,2.41335637238808,2.19308809507638,2.51986502832733
